"ITTER107","Territorio","TIPO_DATO_PIL_SEC2010","Tipo aggregato","VAL","Valutazione","CORREZ","Correzione","T_BIS","Edizione","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITDA","Trentino Alto Adige / Südtirol","D21X31_C_W2_S1","imposte al netto dei contributi ai prodotti","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2017","2017",4482.4,,
"ITDA","Trentino Alto Adige / Südtirol","D21X31_C_W2_S1","imposte al netto dei contributi ai prodotti","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2018","2018",4638.8,,
"ITD1","Provincia Autonoma Bolzano / Bozen","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2017","2017",24089.3,,
"ITD1","Provincia Autonoma Bolzano / Bozen","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2018","2018",24908.5,,
"ITD1","Provincia Autonoma Bolzano / Bozen","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2017","2017",23682.5,,
"ITD1","Provincia Autonoma Bolzano / Bozen","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2018","2018",24581,,
"ITD1","Provincia Autonoma Bolzano / Bozen","B1G_B_W2_S1","valore aggiunto ","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2017","2017",21589.6,,
"ITD1","Provincia Autonoma Bolzano / Bozen","B1G_B_W2_S1","valore aggiunto ","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2018","2018",22350.9,,
"ITD1","Provincia Autonoma Bolzano / Bozen","B1G_B_W2_S1","valore aggiunto ","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2017","2017",21276.4,,
"ITD1","Provincia Autonoma Bolzano / Bozen","B1G_B_W2_S1","valore aggiunto ","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2018","2018",22079.8,,
"ITD1","Provincia Autonoma Bolzano / Bozen","D21X31_C_W2_S1","imposte al netto dei contributi ai prodotti","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2017","2017",2499.7,,
"ITD1","Provincia Autonoma Bolzano / Bozen","D21X31_C_W2_S1","imposte al netto dei contributi ai prodotti","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2018","2018",2557.6,,
"ITD1","Provincia Autonoma Bolzano / Bozen","D21X31_C_W2_S1","imposte al netto dei contributi ai prodotti","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2017","2017",2406.1,,
"ITD1","Provincia Autonoma Bolzano / Bozen","D21X31_C_W2_S1","imposte al netto dei contributi ai prodotti","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2018","2018",2501.3,,
